item_sku,external_product_id,external_product_id_type,item_name,brand_name,manufacturer,feed_product_type,update_delete,standard_price,quantity,product_tax_code,product_site_launch_date,restock_date,fulfillment_latency,item_condition,main_image_url,swatch_image_url,other_image_url1,other_image_url2,other_image_url3,item_type,model,part_number,bullet_point1,bullet_point2,bullet_point3,bullet_point4,bullet_point5,generic_keywords,product_description,wattage,connectivity_technology,included_components,material_type,included_features,warranty_description,warranty_type,is_portable,power_source_type,number_of_items,battery_type,are_batteries_included
HEA-32601,,,Apple iPhone X 128GB,Apple,Apple,Electronics,Update,368.44,89.0,,,,,,,,,,,Smartphone,iPhone X,,64GB Storage,Red Color,,,,smartphone,High-performance smartphone with 128GB storage,,4G,Charger,Glass and Metal,"Face ID, Super Retina Display",1 year warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
HEA-73801,,,HP LaserJet Pro,HP,HP,Electronics,Update,303.69,100.0,,,,,,,,,,,Printer,LaserJet Pro,,High-quality printing,256GB storage,Color: Gred,Wireless connectivity,Compact design,printer,The HP LaserJet Pro printer offers high-quality printing with wireless connectivity and a compact design. It has 256GB storage and comes in a stylish gred color.,,Wireless,Printer,,Compact design,1 year warranty,Manufacturer warranty,No,Electric,1,,
HEA-47025,,,Apple Watch Series 7 - Gold - 512GB,Apple,Apple,Electronics,,1390.64,7.0,,,,,,,,,,,Smartwatch,Watch Series 7,,Stylish gold color,512GB storage,Health and fitness tracking,Water resistant,Retina display,smartwatch,"The Apple Watch Series 7 in gold offers 512GB of storage and advanced health and fitness tracking features. With a water-resistant design and a stunning Retina display, it's the perfect blend of style and functionality.",,"Bluetooth, Wi-Fi","Charger, Band","Aluminum, Glass","Health and fitness tracking, Retina display",1 year limited warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
HEA-46551,,,HP LaserJet Pro Printer - White - 1TB,HP,HP,Electronics,Update,1311.66,91.0,,,,,,,,,,,Printer,LaserJet Pro,,High-quality printing,1TB storage,White color,,,printer,High-performance HP LaserJet Pro printer with 1TB storage capacity,,,,,,,,,,,,
HEA-33841,,,Web cm HD1080 - 1TB - Silver,,,Electronics,Update,393.36,97.0,,,,,,,,,,,Web Camera,HD1080,,High Definition 1080p,1TB Storage,Silver Color,,,"web camera, HD1080, 1TB, silver",High-definition web camera with 1TB storage capacity and sleek silver design,,,,,,,,,,,,
HEA-26672,,,HP LaserJet Pro - Blue - 128GB,HP,HP,Electronics,Update,567.27,59.0,,,,,,,,,,,Printer,LaserJet Pro,,High-quality printing,128GB storage,Blue color,,,printer,High-performance printer with 128GB storage and blue color,,,,,,,,,,,,
HEA-68880,,,Dell Inspiron 5000 - Blue - 256GB,Dell,Dell,Electronics,Update,832.9,85.0,,,,,,,,,,,Laptop,Inspiron 5000,,Blue color,256GB storage,,,,laptop,High-performance laptop with 256GB storage and blue color,,,,,,,,Yes,,,,
HEA-49943,,,Apple Watch Series 7 - 128GB - Silver,Apple,Apple,Wearable Technology,Update,1305.95,76.0,,,,,,,,,,,Smartwatch,Series 7,,128GB storage,Silver color,Health and fitness tracking,Water resistant,Built-in GPS,smartwatch,The Apple Watch Series 7 is a premium smartwatch with advanced health and fitness features and a sleek design.,,"Bluetooth, Wi-Fi",Magnetic charging cable,Aluminum,"Health and fitness tracking, Water resistant, Built-in GPS",1 year limited warranty,Manufacturer warranty,Yes,Battery,1,Lithium Ion,Yes
HEA-24765,,,Bose QC35 Wireless Noise-Canceling Headphones - Red - 64GB,Bose,Bose,Electronics,Update,1293.56,10.0,,,,,,,,,,,Headphones,QC35,,Wireless Noise-Canceling,Red Color,64GB Storage,,,headphones,High-quality wireless noise-canceling headphones with 64GB storage,,Wireless,,,,,,,,,,
HEA-42116,,,Web cm HD1080 - Black - 256GB,,,Electronics,Update,1279.84,2.0,,,,,,,,,,,Camera,Web cm HD1080,,High Definition 1080p,256GB Storage,Black Color,,,camera,High-definition camera with 256GB storage,,,,,,,,,,,,
