Reebelo RID,Product Name,Your SKU,SKU Condition,SKU Battery Health,Price,Min Price,Quantity
101121w2c5e1,Galaxy S23 Ultra - T-Mobile - Red - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180067BMP,4,100,655.15,655.15,0
101121w2c5e1,Galaxy S23 Ultra - T-Mobile - Red - 12GB - Single Sim - 512GB Premium 90,1ea CELLR180068P,2,90,679.75,679.75,0
101121w2c5e1,Galaxy S23 Ultra - T-Mobile - Red - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180068,4,80,686.35,673.15,0
101121w2c5e1,Galaxy S23 Ultra - T-Mobile - Red - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180068BMP,4,100,686.35,686.35,0
101121w2t472,Galaxy S23 Ultra - Verizon - Red - 12GB - Single Sim - 512GB Good 80,1ea CELLR180074,5,80,592.75,581.35,0
101121w2t472,Galaxy S23 Ultra - Verizon - Red - 12GB - Single Sim - 512GB Acceptable 80,1ea CELLR180074-2,6,80,592.75,581.35,0
101121w2t472,Galaxy S23 Ultra - Verizon - Red - 12GB - Single Sim - 512GB Good 100,1ea CELLR180074BMP,5,100,592.75,592.75,0
101121w2t472,Galaxy S23 Ultra - Verizon - Red - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180072,4,80,622.39,610.42,0
101121w2t472,Galaxy S23 Ultra - Verizon - Red - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180072BMP,4,100,622.39,622.39,0
101121w2t472,Galaxy S23 Ultra - Verizon - Red - 12GB - Single Sim - 512GB Premium 90,1ea CELLR180073P,2,90,645.76,645.76,0
101121w2t472,Galaxy S23 Ultra - Verizon - Red - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180073,4,80,652.03,639.49,0
101121w2t472,Galaxy S23 Ultra - Verizon - Red - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180073BMP,4,100,652.03,652.03,0
101121x2g0f6,Galaxy S24+ - T-Mobile - Amber Yellow - Single Sim - 512GB Good 80,1ea CELLR180969,5,80,623.95,611.95,0
101121x2g0f6,Galaxy S24+ - T-Mobile - Amber Yellow - Single Sim - 512GB Acceptable 80,1ea CELLR180969-2,6,80,623.95,611.95,0
101121x2g0f6,Galaxy S24+ - T-Mobile - Amber Yellow - Single Sim - 512GB Good 100,1ea CELLR180969BMP,5,100,623.95,623.95,0
101121x2g0f6,Galaxy S24+ - T-Mobile - Amber Yellow - Single Sim - 512GB Excellent 80,1ea CELLR180967,4,80,655.15,642.55,0
101121x2g0f6,Galaxy S24+ - T-Mobile - Amber Yellow - Single Sim - 512GB Excellent 100,1ea CELLR180967BMP,4,100,655.15,655.15,0
101121x2g0f6,Galaxy S24+ - T-Mobile - Amber Yellow - Single Sim - 512GB Premium 90,1ea CELLR180968P,2,90,669.45,669.45,0
101121x2g0f6,Galaxy S24+ - T-Mobile - Amber Yellow - Single Sim - 512GB Excellent 80,1ea CELLR180968,4,80,675.95,662.95,0
101121x2g0f6,Galaxy S24+ - T-Mobile - Amber Yellow - Single Sim - 512GB Excellent 100,1ea CELLR180968BMP,4,100,675.95,675.95,0
10112200v6k2,Galaxy S23 Ultra - AT&T - Lime - 12GB - Single Sim - 512GB Good 80,1ea CELLR180004,5,80,623.95,611.95,0
10112200v6k2,Galaxy S23 Ultra - AT&T - Lime - 12GB - Single Sim - 512GB Acceptable 80,1ea CELLR180004-2,6,80,623.95,611.95,0
10112200v6k2,Galaxy S23 Ultra - AT&T - Lime - 12GB - Single Sim - 512GB Good 100,1ea CELLR180004BMP,5,100,623.95,623.95,0
10112200v6k2,Galaxy S23 Ultra - AT&T - Lime - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180002,4,80,655.15,642.55,0
10112200v6k2,Galaxy S23 Ultra - AT&T - Lime - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180002BMP,4,100,655.15,655.15,0
10112200v6k2,Galaxy S23 Ultra - AT&T - Lime - 12GB - Single Sim - 512GB Premium 90,1ea CELLR180003P,2,90,679.75,679.75,0
10112200v6k2,Galaxy S23 Ultra - AT&T - Lime - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180003,4,80,686.35,673.15,0
10112200v6k2,Galaxy S23 Ultra - AT&T - Lime - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180003BMP,4,100,686.35,686.35,0
10112201l2j1,Galaxy S23 Ultra - T-Mobile - Lime - 12GB - Single Sim - 512GB Good 80,1ea CELLR180019,5,80,623.95,611.95,0
10112201l2j1,Galaxy S23 Ultra - T-Mobile - Lime - 12GB - Single Sim - 512GB Acceptable 80,1ea CELLR180019-2,6,80,623.95,611.95,0
10112201l2j1,Galaxy S23 Ultra - T-Mobile - Lime - 12GB - Single Sim - 512GB Good 100,1ea CELLR180019BMP,5,100,623.95,623.95,0
10112201l2j1,Galaxy S23 Ultra - T-Mobile - Lime - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180017,4,80,655.15,642.55,0
10112201l2j1,Galaxy S23 Ultra - T-Mobile - Lime - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180017BMP,4,100,655.15,655.15,0
10112201l2j1,Galaxy S23 Ultra - T-Mobile - Lime - 12GB - Single Sim - 512GB Premium 90,1ea CELLR180018P,2,90,679.75,679.75,0
10112201l2j1,Galaxy S23 Ultra - T-Mobile - Lime - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180018,4,80,686.35,673.15,0
10112201l2j1,Galaxy S23 Ultra - T-Mobile - Lime - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180018BMP,4,100,686.35,686.35,0
10112201l5v1,Galaxy S24+ - AT&T - Sandstone Orange - Single Sim - 512GB Good 80,1ea CELLR180904,5,80,623.95,611.95,0
10112201l5v1,Galaxy S24+ - AT&T - Sandstone Orange - Single Sim - 512GB Acceptable 80,1ea CELLR180904-2,6,80,623.95,611.95,0
10112201l5v1,Galaxy S24+ - AT&T - Sandstone Orange - Single Sim - 512GB Good 100,1ea CELLR180904BMP,5,100,623.95,623.95,0
10112201l5v1,Galaxy S24+ - AT&T - Sandstone Orange - Single Sim - 512GB Excellent 80,1ea CELLR180902,4,80,655.15,642.55,0
10112201l5v1,Galaxy S24+ - AT&T - Sandstone Orange - Single Sim - 512GB Excellent 100,1ea CELLR180902BMP,4,100,655.15,655.15,0
10112201l5v1,Galaxy S24+ - AT&T - Sandstone Orange - Single Sim - 512GB Premium 90,1ea CELLR180903P,2,90,669.45,669.45,0
10112201l5v1,Galaxy S24+ - AT&T - Sandstone Orange - Single Sim - 512GB Excellent 80,1ea CELLR180903,4,80,675.95,662.95,0
10112201l5v1,Galaxy S24+ - AT&T - Sandstone Orange - Single Sim - 512GB Excellent 100,1ea CELLR180903BMP,4,100,675.95,675.95,0
1011220345q4,Galaxy S24+ - Verizon - Sandstone Orange - Single Sim - 512GB Good 80,1ea CELLR180924,5,80,592.75,581.35,0
1011220345q4,Galaxy S24+ - Verizon - Sandstone Orange - Single Sim - 512GB Acceptable 80,1ea CELLR180924-2,6,80,592.75,581.35,0
1011220345q4,Galaxy S24+ - Verizon - Sandstone Orange - Single Sim - 512GB Good 100,1ea CELLR180924BMP,5,100,592.75,592.75,0
1011220345q4,Galaxy S24+ - Verizon - Sandstone Orange - Single Sim - 512GB Excellent 80,1ea CELLR180922,4,80,622.39,610.42,0
1011220345q4,Galaxy S24+ - Verizon - Sandstone Orange - Single Sim - 512GB Excellent 100,1ea CELLR180922BMP,4,100,622.39,622.39,0
1011220345q4,Galaxy S24+ - Verizon - Sandstone Orange - Single Sim - 512GB Premium 90,1ea CELLR180923P,2,90,635.98,635.98,0
1011220345q4,Galaxy S24+ - Verizon - Sandstone Orange - Single Sim - 512GB Excellent 80,1ea CELLR180923,4,80,642.15,629.8,0
1011220345q4,Galaxy S24+ - Verizon - Sandstone Orange - Single Sim - 512GB Excellent 100,1ea CELLR180923BMP,4,100,642.15,642.15,0
10112213p3u4,Galaxy S24+ - Verizon - Sapphire Blue - Single Sim - 512GB Good 80,1ea CELLR180849,5,80,592.75,581.35,0
10112213p3u4,Galaxy S24+ - Verizon - Sapphire Blue - Single Sim - 512GB Acceptable 80,1ea CELLR180849-2,6,80,592.75,581.35,0
10112213p3u4,Galaxy S24+ - Verizon - Sapphire Blue - Single Sim - 512GB Good 100,1ea CELLR180849BMP,5,100,592.75,592.75,0
10112213p3u4,Galaxy S24+ - Verizon - Sapphire Blue - Single Sim - 512GB Excellent 80,1ea CELLR180847,4,80,622.39,610.42,0
10112213p3u4,Galaxy S24+ - Verizon - Sapphire Blue - Single Sim - 512GB Excellent 100,1ea CELLR180847BMP,4,100,622.39,622.39,0
10112213p3u4,Galaxy S24+ - Verizon - Sapphire Blue - Single Sim - 512GB Premium 90,1ea CELLR180848P,2,90,635.98,635.98,0
10112213p3u4,Galaxy S24+ - Verizon - Sapphire Blue - Single Sim - 512GB Excellent 80,1ea CELLR180848,4,80,642.15,629.8,0
10112213p3u4,Galaxy S24+ - Verizon - Sapphire Blue - Single Sim - 512GB Excellent 100,1ea CELLR180848BMP,4,100,642.15,642.15,0
1011221455r2,Galaxy S23 Ultra - AT&T - Phantom Black - 12GB - Single Sim - 512GB Good 80,1ea CELLR179904,5,80,623.95,611.95,0
1011221455r2,Galaxy S23 Ultra - AT&T - Phantom Black - 12GB - Single Sim - 512GB Acceptable 80,1ea CELLR179904-2,6,80,623.95,611.95,0
1011221455r2,Galaxy S23 Ultra - AT&T - Phantom Black - 12GB - Single Sim - 512GB Good 100,1ea CELLR179904BMP,5,100,623.95,623.95,0
1011221455r2,Galaxy S23 Ultra - AT&T - Phantom Black - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR179902,4,80,655.15,642.55,0
1011221455r2,Galaxy S23 Ultra - AT&T - Phantom Black - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR179902BMP,4,100,655.15,655.15,0
1011221455r2,Galaxy S23 Ultra - AT&T - Phantom Black - 12GB - Single Sim - 512GB Premium 90,1ea CELLR179903P,2,90,679.75,679.75,0
1011221455r2,Galaxy S23 Ultra - AT&T - Phantom Black - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR179903,4,80,686.35,673.15,0
1011221455r2,Galaxy S23 Ultra - AT&T - Phantom Black - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR179903BMP,4,100,686.35,686.35,0
10112215e3n5,Galaxy S23 Ultra - Verizon - Phantom Black - 12GB - Single Sim - 512GB Good 80,1ea CELLR179924,5,80,592.75,581.35,0
10112215e3n5,Galaxy S23 Ultra - Verizon - Phantom Black - 12GB - Single Sim - 512GB Acceptable 80,1ea CELLR179924-2,6,80,592.75,581.35,0
10112215e3n5,Galaxy S23 Ultra - Verizon - Phantom Black - 12GB - Single Sim - 512GB Good 100,1ea CELLR179924BMP,5,100,592.75,592.75,0
10112215e3n5,Galaxy S23 Ultra - Verizon - Phantom Black - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR179922,4,80,622.39,610.42,0
10112215e3n5,Galaxy S23 Ultra - Verizon - Phantom Black - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR179922BMP,4,100,622.39,622.39,0
10112215e3n5,Galaxy S23 Ultra - Verizon - Phantom Black - 12GB - Single Sim - 512GB Premium 90,1ea CELLR179923P,2,90,645.76,645.76,0
10112215e3n5,Galaxy S23 Ultra - Verizon - Phantom Black - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR179923,4,80,652.03,639.49,0
10112215e3n5,Galaxy S23 Ultra - Verizon - Phantom Black - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR179923BMP,4,100,652.03,652.03,0
1011222180n7,Galaxy S23 Ultra - T-Mobile - Sky Blue - 8GB - Single Sim - 256GB Good 80,1ea CELLR179744,5,80,603.15,591.55,0
1011222180n7,Galaxy S23 Ultra - T-Mobile - Sky Blue - 8GB - Single Sim - 256GB Acceptable 80,1ea CELLR179744-2,6,80,603.15,591.55,0
1011222180n7,Galaxy S23 Ultra - T-Mobile - Sky Blue - 8GB - Single Sim - 256GB Good 100,1ea CELLR179744BMP,5,100,603.15,603.15,0
1011222180n7,Galaxy S23 Ultra - T-Mobile - Sky Blue - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179742,4,80,623.95,611.95,0
1011222180n7,Galaxy S23 Ultra - T-Mobile - Sky Blue - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179742BMP,4,100,623.95,623.95,0
1011222180n7,Galaxy S23 Ultra - T-Mobile - Sky Blue - 8GB - Single Sim - 256GB Premium 90,1ea CELLR179743P,2,90,638.55,638.55,0
1011222180n7,Galaxy S23 Ultra - T-Mobile - Sky Blue - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179743,4,80,644.75,632.35,0
1011222180n7,Galaxy S23 Ultra - T-Mobile - Sky Blue - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179743BMP,4,100,644.75,644.75,0
10112221w785,Galaxy S23 Ultra - Verizon - Sky Blue - 8GB - Single Sim - 256GB Good 80,1ea CELLR179749,5,80,572.99,561.97,0
10112221w785,Galaxy S23 Ultra - Verizon - Sky Blue - 8GB - Single Sim - 256GB Acceptable 80,1ea CELLR179749-2,6,80,572.99,561.97,0
10112221w785,Galaxy S23 Ultra - Verizon - Sky Blue - 8GB - Single Sim - 256GB Good 100,1ea CELLR179749BMP,5,100,572.99,572.99,0
10112221w785,Galaxy S23 Ultra - Verizon - Sky Blue - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179747,4,80,592.75,581.35,0
10112221w785,Galaxy S23 Ultra - Verizon - Sky Blue - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179747BMP,4,100,592.75,592.75,0
10112221w785,Galaxy S23 Ultra - Verizon - Sky Blue - 8GB - Single Sim - 256GB Premium 90,1ea CELLR179748P,2,90,606.62,606.62,0
10112221w785,Galaxy S23 Ultra - Verizon - Sky Blue - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179748,4,80,612.51,600.73,0
10112221w785,Galaxy S23 Ultra - Verizon - Sky Blue - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179748BMP,4,100,612.51,612.51,0
10112230j4t0,Galaxy S24+ - AT&T - Cobalt Violet - Single Sim - 512GB Good 80,1ea CELLR180929,5,80,623.95,611.95,0
10112230j4t0,Galaxy S24+ - AT&T - Cobalt Violet - Single Sim - 512GB Acceptable 80,1ea CELLR180929-2,6,80,623.95,611.95,0
10112230j4t0,Galaxy S24+ - AT&T - Cobalt Violet - Single Sim - 512GB Good 100,1ea CELLR180929BMP,5,100,623.95,623.95,0
10112230j4t0,Galaxy S24+ - AT&T - Cobalt Violet - Single Sim - 512GB Excellent 80,1ea CELLR180927,4,80,655.15,642.55,0
10112230j4t0,Galaxy S24+ - AT&T - Cobalt Violet - Single Sim - 512GB Excellent 100,1ea CELLR180927BMP,4,100,655.15,655.15,0
10112230j4t0,Galaxy S24+ - AT&T - Cobalt Violet - Single Sim - 512GB Premium 90,1ea CELLR180928P,2,90,669.45,669.45,0
10112230j4t0,Galaxy S24+ - AT&T - Cobalt Violet - Single Sim - 512GB Excellent 80,1ea CELLR180928,4,80,675.95,662.95,0
10112230j4t0,Galaxy S24+ - AT&T - Cobalt Violet - Single Sim - 512GB Excellent 100,1ea CELLR180928BMP,4,100,675.95,675.95,0
1011223110b4,Galaxy S24+ - T-Mobile - Cobalt Violet - Single Sim - 512GB Good 80,1ea CELLR180944,5,80,623.95,611.95,0
1011223110b4,Galaxy S24+ - T-Mobile - Cobalt Violet - Single Sim - 512GB Acceptable 80,1ea CELLR180944-2,6,80,623.95,611.95,0
1011223110b4,Galaxy S24+ - T-Mobile - Cobalt Violet - Single Sim - 512GB Good 100,1ea CELLR180944BMP,5,100,623.95,623.95,0
1011223110b4,Galaxy S24+ - T-Mobile - Cobalt Violet - Single Sim - 512GB Excellent 80,1ea CELLR180942,4,80,655.15,642.55,0
1011223110b4,Galaxy S24+ - T-Mobile - Cobalt Violet - Single Sim - 512GB Excellent 100,1ea CELLR180942BMP,4,100,655.15,655.15,0
1011223110b4,Galaxy S24+ - T-Mobile - Cobalt Violet - Single Sim - 512GB Premium 90,1ea CELLR180943P,2,90,669.45,669.45,0
1011223110b4,Galaxy S24+ - T-Mobile - Cobalt Violet - Single Sim - 512GB Excellent 80,1ea CELLR180943,4,80,675.95,662.95,0
1011223110b4,Galaxy S24+ - T-Mobile - Cobalt Violet - Single Sim - 512GB Excellent 100,1ea CELLR180943BMP,4,100,675.95,675.95,0
10112231p7g3,Galaxy S24+ - Verizon - Cobalt Violet - Single Sim - 512GB Good 80,1ea CELLR180949,5,80,592.75,581.35,0
10112231p7g3,Galaxy S24+ - Verizon - Cobalt Violet - Single Sim - 512GB Acceptable 80,1ea CELLR180949-2,6,80,592.75,581.35,0
10112231p7g3,Galaxy S24+ - Verizon - Cobalt Violet - Single Sim - 512GB Good 100,1ea CELLR180949BMP,5,100,592.75,592.75,0
10112231p7g3,Galaxy S24+ - Verizon - Cobalt Violet - Single Sim - 512GB Excellent 80,1ea CELLR180947,4,80,622.39,610.42,0
10112231p7g3,Galaxy S24+ - Verizon - Cobalt Violet - Single Sim - 512GB Excellent 100,1ea CELLR180947BMP,4,100,622.39,622.39,0
10112231p7g3,Galaxy S24+ - Verizon - Cobalt Violet - Single Sim - 512GB Premium 90,1ea CELLR180948P,2,90,635.98,635.98,0
10112231p7g3,Galaxy S24+ - Verizon - Cobalt Violet - Single Sim - 512GB Excellent 80,1ea CELLR180948,4,80,642.15,629.8,0
10112231p7g3,Galaxy S24+ - Verizon - Cobalt Violet - Single Sim - 512GB Excellent 100,1ea CELLR180948BMP,4,100,642.15,642.15,0
1011223273f3,Galaxy S23 Ultra - AT&T - Cream - 12GB - Single Sim - 512GB Good 80,1ea CELLR180079,5,80,623.95,611.95,0
1011223273f3,Galaxy S23 Ultra - AT&T - Cream - 12GB - Single Sim - 512GB Acceptable 80,1ea CELLR180079-2,6,80,623.95,611.95,0
1011223273f3,Galaxy S23 Ultra - AT&T - Cream - 12GB - Single Sim - 512GB Good 100,1ea CELLR180079BMP,5,100,623.95,623.95,0
1011223273f3,Galaxy S23 Ultra - AT&T - Cream - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180077,4,80,655.15,642.55,0
1011223273f3,Galaxy S23 Ultra - AT&T - Cream - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180077BMP,4,100,655.15,655.15,0
1011223273f3,Galaxy S23 Ultra - AT&T - Cream - 12GB - Single Sim - 512GB Premium 90,1ea CELLR180078P,2,90,679.75,679.75,0
1011223273f3,Galaxy S23 Ultra - AT&T - Cream - 12GB - Single Sim - 512GB Excellent 80,1ea CELLR180078,4,80,686.35,673.15,0
1011223273f3,Galaxy S23 Ultra - AT&T - Cream - 12GB - Single Sim - 512GB Excellent 100,1ea CELLR180078BMP,4,100,686.35,686.35,0
10112240r4d5,Galaxy S23 Ultra - AT&T - Green - 8GB - Single Sim - 256GB Good 80,1ea CELLR179779,5,80,603.15,591.55,0
10112240r4d5,Galaxy S23 Ultra - AT&T - Green - 8GB - Single Sim - 256GB Acceptable 80,1ea CELLR179779-2,6,80,603.15,591.55,0
10112240r4d5,Galaxy S23 Ultra - AT&T - Green - 8GB - Single Sim - 256GB Good 100,1ea CELLR179779BMP,5,100,603.15,603.15,0
10112240r4d5,Galaxy S23 Ultra - AT&T - Green - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179777,4,80,623.95,611.95,0
10112240r4d5,Galaxy S23 Ultra - AT&T - Green - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179777BMP,4,100,623.95,623.95,0
10112240r4d5,Galaxy S23 Ultra - AT&T - Green - 8GB - Single Sim - 256GB Premium 90,1ea CELLR179778P,2,90,638.55,638.55,0
10112240r4d5,Galaxy S23 Ultra - AT&T - Green - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179778,4,80,644.75,632.35,0
10112240r4d5,Galaxy S23 Ultra - AT&T - Green - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179778BMP,4,100,644.75,644.75,0
10112241h791,Galaxy S23 Ultra - T-Mobile - Green - 8GB - Single Sim - 256GB Good 80,1ea CELLR179794,5,80,603.15,591.55,0
10112241h791,Galaxy S23 Ultra - T-Mobile - Green - 8GB - Single Sim - 256GB Acceptable 80,1ea CELLR179794-2,6,80,603.15,591.55,0
10112241h791,Galaxy S23 Ultra - T-Mobile - Green - 8GB - Single Sim - 256GB Good 100,1ea CELLR179794BMP,5,100,603.15,603.15,0
10112241h791,Galaxy S23 Ultra - T-Mobile - Green - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179792,4,80,623.95,611.95,0
10112241h791,Galaxy S23 Ultra - T-Mobile - Green - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179792BMP,4,100,623.95,623.95,0
10112241h791,Galaxy S23 Ultra - T-Mobile - Green - 8GB - Single Sim - 256GB Premium 90,1ea CELLR179793P,2,90,638.55,638.55,0
10112241h791,Galaxy S23 Ultra - T-Mobile - Green - 8GB - Single Sim - 256GB Excellent 80,1ea CELLR179793,4,80,644.75,632.35,0
10112241h791,Galaxy S23 Ultra - T-Mobile - Green - 8GB - Single Sim - 256GB Excellent 100,1ea CELLR179793BMP,4,100,644.75,644.75,0
1011224203u2,Galaxy S23 Ultra - Verizon - Green - 8GB - Single Sim - 256GB Good 80,1ea CELLR179799,5,80,572.99,561.97,0
1011224203u2,Galaxy S23 Ultra - Verizon - Green - 8GB - Single Sim - 256GB Acceptable 80,1ea CELLR179799-2,6,80,572.99,561.97,0
1011224203u2,Galaxy S23 Ultra - Verizon - Green - 8GB - Single Sim - 256GB Good 100,1ea CELLR179799BMP,5,100,572.99,572.99,0
